fruit,category,image,method,intensity_weight,cosine_weight,iou,dice,precision,recall
Mango,Ripe,Mango_Ripe_064.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.0,0.0,0.0,0.0
Mango,Overripe,Mango_Overripe_084.jpg,Original Otsu,,,0.6509676228201212,0.7885892052906073,0.8227931349046397,0.7571155272713075
Mango,Overripe,Mango_Overripe_084.jpg,Otsu + Morphology 7x7,,,0.6524382030039738,0.7896672950527335,0.826003538766548,0.7563932378089252
Mango,Overripe,Mango_Overripe_084.jpg,Cosine-Guided Otsu + Morphology,,,0.22079826332025745,0.3617276825406729,0.9000232865015912,0.22634990044118222
Mango,Overripe,Mango_Overripe_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.47481292206607045,0.6438957985273188,0.8795091111937523,0.5078475774021005
Mango,Overripe,Mango_Overripe_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.4609141705596776,0.6309941813804173,0.8822147415667297,0.4911373130831999
Mango,Overripe,Mango_Overripe_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.45140679089636887,0.6220265658500691,0.8883211943327173,0.4785655721703822
Mango,Overripe,Mango_Overripe_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.434812734082397,0.6060898732690325,0.9143858543693144,0.45326591965017765
Mango,Rotten,Mango_Rotten_084.jpg,Original Otsu,,,0.17473071865910508,0.2974821648633676,0.1917588584255251,0.6630380002015925
Mango,Rotten,Mango_Rotten_084.jpg,Otsu + Morphology 7x7,,,0.17346638092686847,0.2956478067822534,0.19110507754282932,0.6527063804052011
Mango,Rotten,Mango_Rotten_084.jpg,Cosine-Guided Otsu + Morphology,,,0.20494916971166022,0.34017894673632376,0.4207516339869281,0.285505493397843
Mango,Rotten,Mango_Rotten_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.2608983008839809,0.4138292528446939,0.3651570630179225,0.4774720290293317
Mango,Rotten,Mango_Rotten_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.2597934231572099,0.4124381321282548,0.3598843322818086,0.4829654268722911
Mango,Rotten,Mango_Rotten_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.2598010375996149,0.41244772761043536,0.3562914878791213,0.48961798205826024
Mango,Rotten,Mango_Rotten_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.2656026500037642,0.41972517994170483,0.34598411297440423,0.5334139703658906
Melon,Ripe,Melon_Ripe_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Cosine-Guided Otsu + Morphology,,,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Cosine-Guided Otsu + Morphology,,,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.0,0.0,0.0,0.0
Melon,Rotten,Melon_Rotten_010.jpg,Original Otsu,,,0.26486373325213153,0.41880200418290425,0.2718482634683752,0.9115739831008056
Melon,Rotten,Melon_Rotten_010.jpg,Otsu + Morphology 7x7,,,0.2670422427256091,0.4215206624068963,0.2740313240455801,0.9128184974127203
Melon,Rotten,Melon_Rotten_010.jpg,Cosine-Guided Otsu + Morphology,,,0.003288788012136091,0.0065560146817793576,0.011106765741102856,0.0046505534813650355
Melon,Rotten,Melon_Rotten_010.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.19958850739081582,0.33276161977399066,0.2646927914852443,0.44795965153599265
Melon,Rotten,Melon_Rotten_010.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.15518989675516223,0.2686829190440091,0.2262008733624454,0.33081155433287485
Melon,Rotten,Melon_Rotten_010.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.13922937001414765,0.2444272833528135,0.17936896921427478,0.38353966070609813
Melon,Rotten,Melon_Rotten_010.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.08854650083534435,0.16268758526603003,0.12459513112527426,0.234328944782865
Orange,Ripe,Orange_Ripe_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
