mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,param_classifier__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2031104564666748,0.04236121696251343,0.04879307746887207,0.011692889018536086,100,8,1,sqrt,20,False,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 20, 'classifier__bootstrap': False}",0.9583129683936136,0.8962221398261443,0.8361965970419808,0.9583129683936136,0.9583129683936136,0.9214715284097931,0.04895144664640164,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.47089600563049316,0.009030535335106955,0.06746020317077636,0.005682632427196601,300,2,2,log2,,True,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': None, 'classifier__bootstrap': True}",0.9375,0.9169482846902203,0.8547556773363225,0.9583129683936136,0.9375,0.9210033860840312,0.03561315553313381,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.46579546928405763,0.05620144875016765,0.07792601585388184,0.015039143685256103,200,8,3,log2,10,True,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 3, 'classifier__max_features': 'log2', 'classifier__max_depth': 10, 'classifier__bootstrap': True}",0.9375,0.9169482846902203,0.8547556773363225,0.9583129683936136,0.9375,0.9210033860840312,0.03561315553313381,12,0.9947913487558241,0.9947913487558241,1.0,0.9947913487558241,0.9947913487558241,0.9958330790046592,0.0020834604976703638
0.3758689403533936,0.07006940103591583,0.10778994560241699,0.035959528524779,200,2,4,log2,20,True,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 20, 'classifier__bootstrap': True}",0.9375,0.9169482846902203,0.8547556773363225,0.9373737373737373,0.9583129683936136,0.9209781335587788,0.035601492039917616,14,0.9947913487558241,0.9947913487558241,1.0,0.9895833333333334,0.989541036052664,0.993741413379529,0.00390659530623131
0.4544651508331299,0.04116862281107836,0.0638500690460205,0.012621881388608992,300,6,1,sqrt,5,True,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 5, 'classifier__bootstrap': True}",0.9583129683936136,0.938453661034306,0.8171655930276619,0.9375,0.9381109481915934,0.9179086341294349,0.05098180812491318,15,1.0,0.9947913487558241,0.9947913487558241,1.0,0.9947913487558241,0.9968748092534945,0.002551707559268746
0.2224885940551758,0.05290414795073405,0.04586920738220215,0.0075553392930137585,100,4,1,log2,5,False,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'log2', 'classifier__max_depth': 5, 'classifier__bootstrap': False}",0.9375,0.9169482846902203,0.8144349477682811,0.9583129683936136,0.9381109481915934,0.9130614298087417,0.05101904434434461,16,1.0,1.0,0.9947913487558241,0.9947913487558241,0.9947913487558241,0.9968748092534945,0.002551707559268746
0.3426830768585205,0.06941292618955916,0.051442432403564456,0.0031045869314104933,200,6,3,0.5,,False,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 3, 'classifier__max_features': 0.5, 'classifier__max_depth': None, 'classifier__bootstrap': False}",0.9375,0.8722906403940888,0.8566308243727598,0.9791463017269469,0.9162314388120839,0.912359841061176,0.04431413393496889,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.16108860969543456,0.02225513113643178,0.08769936561584472,0.07872799468450775,100,2,4,log2,10,False,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 10, 'classifier__bootstrap': False}",0.9583129683936136,0.8515598932265599,0.8572434503468985,0.9583129683936136,0.9166055718475073,0.9084069704416387,0.04668560871309137,18,1.0,0.9947913487558241,1.0,1.0,1.0,0.9989582697511648,0.002083460497670364
0.5480515480041503,0.0354387673222592,0.0705906867980957,0.011842323643802452,300,4,1,0.5,15,True,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 0.5, 'classifier__max_depth': 15, 'classifier__bootstrap': True}",0.9583129683936136,0.8580691339312029,0.8361965970419808,0.9166055718475073,0.937381404174573,0.9013131350777754,0.046677546672807144,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5466552734375,0.049169988048615124,0.0681373119354248,0.006369827023816457,300,4,1,0.5,20,True,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 0.5, 'classifier__max_depth': 20, 'classifier__bootstrap': True}",0.9583129683936136,0.8580691339312029,0.8361965970419808,0.9166055718475073,0.937381404174573,0.9013131350777754,0.046677546672807144,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5438921928405762,0.05033378115164457,0.06542844772338867,0.006343285354651758,300,6,2,0.5,,True,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 0.5, 'classifier__max_depth': None, 'classifier__bootstrap': True}",0.9375,0.8580691339312029,0.8566308243727598,0.9375,0.9166055718475073,0.9012611060302941,0.03665890341554235,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8106071949005127,0.14015597740595728,0.11339197158813477,0.03393606659578402,500,6,4,0.5,20,False,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 0.5, 'classifier__max_depth': 20, 'classifier__bootstrap': False}",0.9375,0.8498677248677248,0.8566308243727598,0.9375,0.9162314388120839,0.8995459976105137,0.03864986266362837,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
