mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
9.242995357513427,1.5372748082180807,1.2262391090393066,1.479752655529105,300,6,1,0.5,10,True,"{'n_estimators': 300, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': True}",0.8303328334961325,0.8268640983823917,0.8052511794407168,0.8220258252446742,0.8252360677085443,0.8219420008544919,0.008764411434067542,29,0.9500645155655244,0.9478478086691957,0.9489926237181848,0.9459971173344306,0.9433441054365925,0.9472492341447856,0.0023723968840897725
14.816318988800049,6.023315743673101,2.0785143852233885,1.2433764297392544,400,4,1,0.5,10,False,"{'n_estimators': 400, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': False}",0.8114317703044306,0.8231154876485155,0.796132753560451,0.8171023799492091,0.8228834880520629,0.8141331759029338,0.0099737541215513,30,0.950216449576889,0.9468140531672781,0.942843379694215,0.9510820463263793,0.9447084692051078,0.9471328795939739,0.0031459035946419635
9.045823574066162,1.2445967097460537,1.1167033195495606,1.382944206856568,300,8,3,0.5,10,True,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': True}",0.8122127068675086,0.819695623894306,0.8037341472213748,0.8164668371510372,0.8139366621617204,0.8132091954591895,0.005366278406156506,31,0.9409246731298101,0.9293775677737289,0.9347714277677757,0.9268061047464874,0.9285217181239203,0.9320802983083446,0.0051623736158795805
11.353478717803956,0.813268942213293,1.2802701473236084,0.7814925320728215,300,8,1,0.5,10,False,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': False}",0.8095242280107642,0.8177395307257007,0.7936053474399501,0.8225895417371508,0.8215107968318056,0.8129938889490743,0.010724639640213359,32,0.9450483543362532,0.9438917461928746,0.9354986018944125,0.9452383210174664,0.9416869597462867,0.9422727966374588,0.003615300052015388
6.6580077648162845,2.594104397939866,1.9215195178985596,0.8380178961406249,200,4,3,0.5,10,True,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': True}",0.8143900391137282,0.8188776123750516,0.7962922311879687,0.8108222392692849,0.8098020747550226,0.8100368393402112,0.0075722630281765835,33,0.9413257211552124,0.9337963675496902,0.9327049450147308,0.930063743767701,0.9327927768692541,0.9341367108713177,0.003801128136110519
12.488443040847779,3.027011137872891,2.430422067642212,0.7514550064917483,400,6,4,0.5,10,False,"{'n_estimators': 400, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': False}",0.8035007453744193,0.8173790275352296,0.7973608796873394,0.8075196516315277,0.8216697770106786,0.809486016247839,0.008915746153320388,34,0.93507411599365,0.9342875484388041,0.9296974059774724,0.9342939212495558,0.9249298326954671,0.9316565648709899,0.0038637962733282854
13.53525538444519,0.799225254912352,1.0954134941101075,1.2285312276267286,400,4,3,,10,True,"{'n_estimators': 400, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': None, 'max_depth': 10, 'bootstrap': True}",0.8267170267627553,0.8123002492446927,0.7684064781503896,0.795894871645841,0.8041802588303928,0.8014997769268142,0.019423317234331137,35,0.9395365449098397,0.9308368806711811,0.9189504399750733,0.9342412379746112,0.9240566646318041,0.929524353632502,0.007292722020496957
10.020245838165284,0.5341066596025955,0.3989321231842041,0.05824253227935473,300,4,3,,10,True,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': None, 'max_depth': 10, 'bootstrap': True}",0.8213359130057784,0.8125160863864136,0.7675480347950409,0.7887043267983,0.8037613477942082,0.7987731417559483,0.01896954249548363,36,0.9358305603768736,0.9280343349661694,0.9184197308723578,0.9316101344207744,0.9252864363770974,0.9278362394026546,0.005888341390734822
13.848182153701782,0.7395457337884839,1.7864726066589356,0.3272121490838852,200,6,1,,20,False,"{'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20, 'bootstrap': False}",0.6968800284132661,0.7132114362310069,0.6623685708296397,0.7027042615973369,0.6736483152962742,0.6897625224735048,0.018857864769775832,37,0.9316056039582733,0.9473310792088914,0.9496233132361419,0.9472388142632083,0.9459191601844813,0.9443435941701992,0.00647953088677156
36.03249354362488,0.3108943369034842,1.6718995571136475,0.1901505796310349,400,2,4,,20,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 20, 'bootstrap': False}",0.683662089209332,0.7116441835118537,0.6427485947470951,0.7030722125700649,0.679964033155124,0.6842182226386939,0.023857048082985322,38,0.8781198471257187,0.8898672594559232,0.8984162354083274,0.8978798951676812,0.8932758577678818,0.8915118189851065,0.007394385431759908
