fruit,category,image,method,iou,dice,precision,recall
Melon,Rotten,Melon_Rotten_010.jpg,Otsu + Morphology 7x7,0.2670422427256091,0.4215206624068963,0.2740313240455801,0.9128184974127203
Melon,Rotten,Melon_Rotten_010.jpg,MC-BCS A,0.1633048989988745,0.2807602703975761,0.2296478330591249,0.36113840309163553
Melon,Rotten,Melon_Rotten_010.jpg,MC-BCS B,0.14430983238032016,0.2522216069403792,0.21109198446327684,0.3132573524595533
Melon,Rotten,Melon_Rotten_010.jpg,MC-BCS C,0.1782185518360124,0.3025220602040178,0.2448289135147181,0.395788301565468
Melon,Rotten,Melon_Rotten_010.jpg,MC-BCS D,0.19355213307979272,0.3243295834600182,0.25795593043276394,0.4366935219755027
Orange,Ripe,Orange_Ripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,MC-BCS A,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,MC-BCS B,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,MC-BCS C,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,MC-BCS D,0.0,0.0,0.0,0.0
Orange,Overripe,Orange_Overripe_084.jpg,Original Otsu,0.4803573961140264,0.6489748994060165,0.5959487100534454,0.712359018850067
Orange,Overripe,Orange_Overripe_084.jpg,Otsu + Morphology 7x7,0.48090163496948884,0.6494714079769341,0.597991283764352,0.7106501564266372
Orange,Overripe,Orange_Overripe_084.jpg,MC-BCS A,0.3330040892119871,0.49962950887696733,0.5725688665466526,0.4431737518731761
Orange,Overripe,Orange_Overripe_084.jpg,MC-BCS B,0.31609241187014536,0.48034987363992676,0.5659321066894879,0.4172516234193023
Orange,Overripe,Orange_Overripe_084.jpg,MC-BCS C,0.3224767924155639,0.48768612691727525,0.5645573997233748,0.4292399505744407
Orange,Overripe,Orange_Overripe_084.jpg,MC-BCS D,0.3421969163340377,0.5099056810064581,0.5722840314136126,0.4597891526671399
Orange,Rotten,Orange_Rotten_084.jpg,Original Otsu,0.7390036855779107,0.8499161809795968,0.8815791844604213,0.8204487523477327
Orange,Rotten,Orange_Rotten_084.jpg,Otsu + Morphology 7x7,0.7438697463082166,0.8531253528344002,0.8848253373448394,0.8236181915749933
Orange,Rotten,Orange_Rotten_084.jpg,MC-BCS A,0.5365362722938081,0.6983711116599199,0.9707752470222992,0.5453447813254628
Orange,Rotten,Orange_Rotten_084.jpg,MC-BCS B,0.5187088274044795,0.6830918712587837,0.9666093788362387,0.5281727931312047
Orange,Rotten,Orange_Rotten_084.jpg,MC-BCS C,0.5605110260134689,0.7183685557741533,0.9727298768261243,0.5694593506841964
Orange,Rotten,Orange_Rotten_084.jpg,MC-BCS D,0.5669250987717587,0.7236148035616323,0.975509159176243,0.5751106788301583
Peach,Ripe,Peach_Ripe_084.jpg,Original Otsu,0.1371467459436226,0.2412120448532191,0.1371467459436226,1.0
Peach,Ripe,Peach_Ripe_084.jpg,Otsu + Morphology 7x7,0.13995906133489291,0.24555103087825056,0.13995906133489291,1.0
