fruit,category,image,method,hsv_k,component_ratio,iou,dice,precision,recall
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.0,0.0,0.0,0.0
Grape,Rotten,Grape_Rotten_064.jpg,Original Otsu,,,0.3339821620522356,0.5007295772807457,0.33901503981126513,0.95744149246273
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + Morphology 7x7,,,0.33787592619497314,0.505093065178203,0.341638265366083,0.9684350795369367
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.21275466188864556,0.35086183310533514,0.51148691767709,0.26701091030232366
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.21275466188864556,0.35086183310533514,0.51148691767709,0.26701091030232366
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.2110268688480979,0.348508979076281,0.5116091583360206,0.26426251353377195
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.20836658685820697,0.3448731355605702,0.5084388185654009,0.26093112351128506
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.15752271962302256,0.27217214306484444,0.4510408635312259,0.19488631631548264
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.15752271962302256,0.27217214306484444,0.4510408635312259,0.19488631631548264
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.1578734313857779,0.2726954900361263,0.4539282250242483,0.19488631631548264
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.15166711846028735,0.2633870777921619,0.4487667936635252,0.18639127175814107
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.05847445361123173,0.11048817174894024,0.30851470026727756,0.06729407845423503
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.05847445361123173,0.11048817174894024,0.30851470026727756,0.06729407845423503
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.05666278731451847,0.10724857162524953,0.30912698412698414,0.06487882068793203
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.057427202359012164,0.10861684327941996,0.3333333333333333,0.06487882068793203
Guava,Class_A,Guava_Class_A_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.0,0.0,0.0,0.0
Guava,Class_B,Guava_Class_B_084.jpg,Original Otsu,,,0.4351953669085844,0.6064614991699655,0.44424904587293274,0.9552659103709068
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + Morphology 7x7,,,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Defect,Guava_Defect_084.jpg,Original Otsu,,,0.3246177433389964,0.49013044702349295,0.35604235786029176,0.7862304295463669
Guava,Defect,Guava_Defect_084.jpg,Otsu + Morphology 7x7,,,0.321197276652275,0.48622152395915164,0.35391793605050087,0.7764953833801687
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.39267042674289837,0.5639100525186774,0.4464975986880637,0.7651043757527097
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.3918205464987509,0.5630331402771867,0.44596218672138355,0.7634484142914492
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.38919364392593164,0.5603159007063273,0.4443007085526122,0.758329987956644
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.38615467820443483,0.557159578618806,0.44236613069774305,0.752408671216379
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.39069018323916144,0.5618651629929183,0.451913386067251,0.7425230830991569
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.38981887310556057,0.5609635624453817,0.45136044023234484,0.7408671216378965
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.38712573269261236,0.5581696360590833,0.449644259077527,0.7357486953030912
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.3840101388815546,0.5549238811095425,0.4476454293628809,0.7298273785628262
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.40213992713921,0.5736088379705401,0.4842152528322741,0.7034825371336813
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.4011933105762887,0.5726451982721559,0.4836266814205194,0.7018265756724207
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.39846820228909097,0.5698638004594684,0.481924784901471,0.697059413890004
Guava,Defect,Guava_Defect_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.39716823346213737,0.5685331572103774,0.4828734705325527,0.6911380971497391
Mango,Ripe,Mango_Ripe_064.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
