Image,Method,IoU,Dice,Precision,Recall
image_123.jpg,Otsu + Morphology 5x5,0.5628,0.7202,0.7670,0.6789
image_123.jpg,Otsu + Morphology 7x7,0.5494,0.7092,0.7744,0.6540
image_124.jpg,Original Otsu,0.6494,0.7875,0.7769,0.7983
image_124.jpg,Otsu + Morphology 3x3,0.6494,0.7874,0.7820,0.7929
image_124.jpg,Otsu + Morphology 5x5,0.6450,0.7842,0.7875,0.7809
image_124.jpg,Otsu + Morphology 7x7,0.6394,0.7800,0.7921,0.7684
image_125.jpg,Original Otsu,0.5714,0.7273,0.6950,0.7626
image_125.jpg,Otsu + Morphology 3x3,0.5700,0.7261,0.7007,0.7535
image_125.jpg,Otsu + Morphology 5x5,0.5641,0.7213,0.7052,0.7381
image_125.jpg,Otsu + Morphology 7x7,0.5492,0.7090,0.7052,0.7129
image_126.jpg,Original Otsu,0.6218,0.7668,0.7253,0.8133
image_126.jpg,Otsu + Morphology 3x3,0.6258,0.7698,0.7356,0.8074
image_126.jpg,Otsu + Morphology 5x5,0.6255,0.7696,0.7448,0.7962
image_126.jpg,Otsu + Morphology 7x7,0.6218,0.7668,0.7522,0.7820
image_127.jpg,Original Otsu,0.6577,0.7935,0.7627,0.8269
image_127.jpg,Otsu + Morphology 3x3,0.6637,0.7978,0.7738,0.8234
image_127.jpg,Otsu + Morphology 5x5,0.6644,0.7983,0.7819,0.8155
image_127.jpg,Otsu + Morphology 7x7,0.6583,0.7940,0.7935,0.7944
,,,,,
AVERAGE,Original Otsu,0.5530,0.7096,0.6119,0.8650
AVERAGE,Otsu + Morphology 3x3,0.5570,0.7129,0.6187,0.8617
AVERAGE,Otsu + Morphology 5x5,0.5592,0.7148,0.6257,0.8545
AVERAGE,Otsu + Morphology 7x7,0.5584,0.7142,0.6318,0.8433
