fruit,category,image,method,iou,dice,precision,recall
Melon,Overripe,Melon_Overripe_014.jpg,Otsu + Morphology 3x3,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Otsu + Morphology 5x5,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Melon,Rotten,Melon_Rotten_010.jpg,Original Otsu,0.26486373325213153,0.41880200418290425,0.2718482634683752,0.9115739831008056
Melon,Rotten,Melon_Rotten_010.jpg,Otsu + Morphology 3x3,0.26555375369646095,0.4196641239786535,0.2725634950163511,0.911704984607323
Melon,Rotten,Melon_Rotten_010.jpg,Otsu + Morphology 5x5,0.26624337613978133,0.420524807721309,0.2731520482730247,0.9132442523089016
Melon,Rotten,Melon_Rotten_010.jpg,Otsu + Morphology 7x7,0.2670422427256091,0.4215206624068963,0.2740313240455801,0.9128184974127203
Orange,Ripe,Orange_Ripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,Otsu + Morphology 3x3,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,Otsu + Morphology 5x5,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Orange,Overripe,Orange_Overripe_084.jpg,Original Otsu,0.4803573961140264,0.6489748994060165,0.5959487100534454,0.712359018850067
Orange,Overripe,Orange_Overripe_084.jpg,Otsu + Morphology 3x3,0.4807948431090512,0.6493740106490142,0.5970099887543825,0.7118069248363436
Orange,Overripe,Orange_Overripe_084.jpg,Otsu + Morphology 5x5,0.4806326776965135,0.6492260841416189,0.5967599735508045,0.7118069248363436
Orange,Overripe,Orange_Overripe_084.jpg,Otsu + Morphology 7x7,0.48090163496948884,0.6494714079769341,0.597991283764352,0.7106501564266372
Orange,Rotten,Orange_Rotten_084.jpg,Original Otsu,0.7390036855779107,0.8499161809795968,0.8815791844604213,0.8204487523477327
Orange,Rotten,Orange_Rotten_084.jpg,Otsu + Morphology 3x3,0.7395715214466065,0.850291594600937,0.8825620207487596,0.8202978266702442
Orange,Rotten,Orange_Rotten_084.jpg,Otsu + Morphology 5x5,0.7428930018750378,0.8524826263870694,0.8831544697909364,0.8238697343708076
Orange,Rotten,Orange_Rotten_084.jpg,Otsu + Morphology 7x7,0.7438697463082166,0.8531253528344002,0.8848253373448394,0.8236181915749933
Peach,Ripe,Peach_Ripe_084.jpg,Original Otsu,0.1371467459436226,0.2412120448532191,0.1371467459436226,1.0
Peach,Ripe,Peach_Ripe_084.jpg,Otsu + Morphology 3x3,0.13855617875882034,0.24338927027714213,0.13855617875882034,1.0
Peach,Ripe,Peach_Ripe_084.jpg,Otsu + Morphology 5x5,0.13956624749407692,0.244946264073695,0.13956624749407692,1.0
Peach,Ripe,Peach_Ripe_084.jpg,Otsu + Morphology 7x7,0.13995906133489291,0.24555103087825056,0.13995906133489291,1.0
Peach,Overripe,Peach_Overripe_084.jpg,Original Otsu,0.09610207655741806,0.17535242129866335,0.09830577877872754,0.810858735117791
Peach,Overripe,Peach_Overripe_084.jpg,Otsu + Morphology 3x3,0.0962993396330404,0.17568074001627013,0.09850348503485035,0.811449801570548
Peach,Overripe,Peach_Overripe_084.jpg,Otsu + Morphology 5x5,0.09598434864198517,0.17515642218963742,0.09816652374535506,0.8119564299586254
Peach,Overripe,Peach_Overripe_084.jpg,Otsu + Morphology 7x7,0.09610225816784113,0.17535272361992604,0.09830845159836989,0.8106898589884319
Peach,Rotten,Peach_Rotten_084.jpg,Original Otsu,0.1982574204474552,0.3309095642794711,0.20541177013829567,0.8505736137667304
Peach,Rotten,Peach_Rotten_084.jpg,Otsu + Morphology 3x3,0.1999640514064887,0.33328340323547034,0.20722734469591134,0.8508604206500956
Peach,Rotten,Peach_Rotten_084.jpg,Otsu + Morphology 5x5,0.20130910732422977,0.3351495565910116,0.20856327752315032,0.8526768642447419
Peach,Rotten,Peach_Rotten_084.jpg,Otsu + Morphology 7x7,0.20180024548802108,0.33582992888485397,0.20932754880694143,0.8487571701720842
Pear,Ripe,Pear_Ripe_047.jpg,Original Otsu,0.059772585846014595,0.11280266473075116,0.06050922585300485,0.8307910048749804
Pear,Ripe,Pear_Ripe_047.jpg,Otsu + Morphology 3x3,0.05997797931872099,0.11316834969962412,0.06071888214745358,0.830948262305394
Pear,Ripe,Pear_Ripe_047.jpg,Otsu + Morphology 5x5,0.05999456447886941,0.11319787193128646,0.060724150973672446,0.8331498663311842
Pear,Ripe,Pear_Ripe_047.jpg,Otsu + Morphology 7x7,0.06059054446151221,0.11425812681042806,0.06131190199306859,0.837395816952351
Pear,Overripe,Pear_Overripe_032.jpg,Original Otsu,0.28167887567128364,0.43954672425064883,0.3319469172189889,0.6503590795837608
Pear,Overripe,Pear_Overripe_032.jpg,Otsu + Morphology 3x3,0.28236688199992355,0.44038392750685584,0.3331028574005321,0.6495969514876154
Pear,Overripe,Pear_Overripe_032.jpg,Otsu + Morphology 5x5,0.2840731738518613,0.4424563640710927,0.33512926155657174,0.6509160193463286
Pear,Overripe,Pear_Overripe_032.jpg,Otsu + Morphology 7x7,0.2874884944968044,0.4465880599720077,0.3401331329181877,0.6500366407738531
Pear,Rotten,Pear_Rotten_084.jpg,Original Otsu,0.07756754936947509,0.1439678643160009,0.1128463476070529,0.1987920621225194
Pear,Rotten,Pear_Rotten_084.jpg,Otsu + Morphology 3x3,0.07724144569036046,0.1434060042887777,0.11246583981500946,0.19783064217921853
Pear,Rotten,Pear_Rotten_084.jpg,Otsu + Morphology 5x5,0.07656759957253849,0.1422439233782261,0.11161008743000687,0.1960557130531246
Pear,Rotten,Pear_Rotten_084.jpg,Otsu + Morphology 7x7,0.07523024253821303,0.13993327114874077,0.10998012152655398,0.192308640453593
