fruit,category,image,method,window_size,darkness_weight,local_contrast_weight,iou,dice,precision,recall
Banana,Rotten,Banana_Rotten_084.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.1806640300442022,0.3060380014074595,0.5691252682824687,0.2092902381273221
Banana,Rotten,Banana_Rotten_084.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.23900079715477066,0.3857960345200903,0.2842440153877008,0.600246404989701
Banana,Rotten,Banana_Rotten_084.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.24539574992300586,0.3940847717493447,0.2902600063749374,0.6135484243555932
Banana,Rotten,Banana_Rotten_084.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.2625436682888133,0.41589637631251436,0.3030596522121946,0.6625984176179568
Banana,Rotten,Banana_Rotten_084.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.21075984470327233,0.34814475492441593,0.5800224466891134,0.2487150364794887
Banana,Rotten,Banana_Rotten_084.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.23964879781378937,0.38663982611273034,0.2846168531869051,0.6026719541070706
Banana,Rotten,Banana_Rotten_084.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.24789828709436748,0.39730527665292187,0.29221367955320227,0.6204400639112942
Banana,Rotten,Banana_Rotten_084.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.2685770013180852,0.4234303491849948,0.307721181964995,0.678595491558704
Grape,Ripe,Grape_Ripe_094.jpg,Original Otsu,,,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + Morphology 7x7,,,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Original Otsu,,,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + Morphology 7x7,,,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.0010223048327137546,0.002042521585739486,0.0013606003133503752,0.004094800843777144
