fruit,category,image,method,gt_damage_percentage,raw_damage_percentage,predicted_damage_percentage,absolute_error,intensity_weight,colour_weight,texture_weight
Banana,Rotten,Banana_Rotten_084,AWDP_B,29.234951150330918,77.15940299851425,22.511306686439152,6.723644463891766,0.4,0.4,0.2
Banana,Rotten,Banana_Rotten_084,AWDP_C,29.234951150330918,77.15940299851425,23.153214834428887,6.081736315902031,0.4,0.3,0.3
Banana,Rotten,Banana_Rotten_084,AWDP_D,29.234951150330918,77.15940299851425,21.192558198921706,8.042392951409212,0.33,0.34,0.33
Banana,Rotten,Banana_Rotten_084,AWDP_E,29.234951150330918,77.15940299851425,19.43526451561163,9.799686634719286,0.3,0.5,0.2
Grape,Overripe,Grape_Overripe_084,AWDP_A,14.102967940641186,52.91194176116477,20.496844457642098,6.393876517000912,0.5,0.3,0.2
Grape,Overripe,Grape_Overripe_084,AWDP_B,14.102967940641186,52.91194176116477,20.72801756855488,6.625049627913693,0.4,0.4,0.2
Grape,Overripe,Grape_Overripe_084,AWDP_C,14.102967940641186,52.91194176116477,19.568689680893883,5.465721740252697,0.4,0.3,0.3
Grape,Overripe,Grape_Overripe_084,AWDP_D,14.102967940641186,52.91194176116477,19.382711466864414,5.279743526223228,0.33,0.34,0.33
Grape,Overripe,Grape_Overripe_084,AWDP_E,14.102967940641186,52.91194176116477,20.959188970517463,6.856221029876277,0.3,0.5,0.2
Grape,Ripe,Grape_Ripe_094,AWDP_A,0.0,70.86026023705335,20.122357986241923,20.122357986241923,0.5,0.3,0.2
Grape,Ripe,Grape_Ripe_094,AWDP_B,0.0,70.86026023705335,20.525446490023764,20.525446490023764,0.4,0.4,0.2
Grape,Ripe,Grape_Ripe_094,AWDP_C,0.0,70.86026023705335,20.716208282920856,20.716208282920856,0.4,0.3,0.3
Grape,Ripe,Grape_Ripe_094,AWDP_D,0.0,70.86026023705335,21.055596792408064,21.055596792408064,0.33,0.34,0.33
Grape,Ripe,Grape_Ripe_094,AWDP_E,0.0,70.86026023705335,20.928534993805606,20.928534993805606,0.3,0.5,0.2
Grape,Rotten,Grape_Rotten_064,AWDP_A,31.514435695538058,89.50656167979002,19.741126353346456,11.773309342191602,0.5,0.3,0.2
Grape,Rotten,Grape_Rotten_064,AWDP_B,31.514435695538058,89.50656167979002,18.79375948367782,12.720676211860237,0.4,0.4,0.2
Grape,Rotten,Grape_Rotten_064,AWDP_C,31.514435695538058,89.50656167979002,18.581519900344485,12.932915795193573,0.4,0.3,0.3
Grape,Rotten,Grape_Rotten_064,AWDP_D,31.514435695538058,89.50656167979002,17.854692113681104,13.659743581856954,0.33,0.34,0.33
Grape,Rotten,Grape_Rotten_064,AWDP_E,31.514435695538058,89.50656167979002,17.846395177165356,13.668040518372703,0.3,0.5,0.2
Guava,Class_A,Guava_Class_A_084,AWDP_A,0.0,37.33495482974288,14.658932379889825,14.658932379889825,0.5,0.3,0.2
Guava,Class_A,Guava_Class_A_084,AWDP_B,0.0,37.33495482974288,15.585347649011178,15.585347649011178,0.4,0.4,0.2
Guava,Class_A,Guava_Class_A_084,AWDP_C,0.0,37.33495482974288,14.709912358209548,14.709912358209548,0.4,0.3,0.3
Guava,Class_A,Guava_Class_A_084,AWDP_D,0.0,37.33495482974288,15.09577415595321,15.09577415595321,0.33,0.34,0.33
Guava,Class_A,Guava_Class_A_084,AWDP_E,0.0,37.33495482974288,16.51176150429986,16.51176150429986,0.3,0.5,0.2
